"timestamp","latitude","longitude","accel_mean","accel_variance","accel_stats_x_p1","accel_stats_x_p10","accel_stats_x_p90","accel_stats_x_p99","accel_stats_y_p1","accel_stats_y_p10","accel_stats_y_p90","accel_stats_y_p99","accel_stats_z_p1","accel_stats_z_p10","accel_stats_z_p90","accel_stats_z_p99"
"2025-06-06 16:36:34","33.77697","-84.38988","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:36:31","33.776971","-84.389857","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:36:28","33.776974","-84.389839","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:36:25","33.776986","-84.389827","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:36:22","33.776979","-84.389807","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:36:19","33.776963","-84.38978","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:36:16","33.776937","-84.389738","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:36:13","33.776912","-84.389713","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:36:10","33.776904","-84.389662","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:36:07","33.776901","-84.38955","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:36:04","33.776923","-84.389375","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:36:01","33.776946","-84.389193","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:35:58","33.776953","-84.389066","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:35:55","33.776908","-84.389035","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:35:52","33.776839","-84.388975","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
"2025-06-06 16:35:49","33.77677","-84.38891","9.344","0.127","-1.686","-0.46","1.073","1.992","0.766","2.452","3.065","3.218","8.274","8.581","9.194","11.032"
